always_roll,score,success
1,150,'win'
2,50,'win'
3,250,'win'
4,100,'win'
5,700,'win'
6,200,'win'
7,50,'win'
8,50,'win'
9,1100,'win'
10,300,'win'
11,650,'win'
12,300,'win'
13,250,'win'
14,200,'win'
15,100,'win'
16,600,'win'
17,500,'win'
18,400,'win'
19,250,'win'
20,300,'win'
21,200,'win'
22,1050,'win'
23,100,'win'
24,150,'win'
25,650,'win'
26,500,'win'
27,100,'win'
28,200,'win'
29,50,'win'
30,300,'win'
31,150,'win'
32,100,'win'
33,100,'win'
34,100,'win'
35,150,'win'
36,500,'win'
37,600,'win'
38,200,'win'
39,600,'win'
40,1000,'win'
41,100,'win'
42,1300,'win'
43,200,'win'
44,1000,'win'
45,250,'win'
46,150,'win'
47,50,'win'
48,100,'win'
49,250,'win'
50,150,'win'
51,200,'win'
52,1050,'win'
53,550,'win'
54,100,'win'
55,1000,'win'
56,100,'win'
57,250,'win'
58,500,'win'
59,200,'win'
60,150,'win'
61,100,'win'
62,250,'win'
63,250,'win'
64,100,'win'
65,150,'win'
66,300,'win'
67,400,'win'
68,850,'win'
69,250,'win'
70,650,'win'
71,0,'loss'
72,250,'win'
73,150,'win'
74,300,'win'
75,700,'win'
76,150,'win'
77,650,'win'
78,1000,'win'
79,2000,'win'
80,1000,'win'
81,600,'win'
82,0,'loss'
83,100,'win'
84,200,'win'
85,200,'win'
86,200,'win'
87,600,'win'
88,50,'win'
89,600,'win'
90,2000,'win'
91,200,'win'
92,200,'win'
93,500,'win'
94,550,'win'
95,200,'win'
96,50,'win'
97,300,'win'
98,100,'win'
99,650,'win'
100,400,'win'
101,250,'win'
102,700,'win'
103,300,'win'
104,100,'win'
105,150,'win'
106,250,'win'
107,100,'win'
108,300,'win'
109,650,'win'
110,250,'win'
111,200,'win'
112,600,'win'
113,450,'win'
114,150,'win'
115,250,'win'
116,100,'win'
117,100,'win'
118,150,'win'
119,100,'win'
120,650,'win'
121,250,'win'
122,400,'win'
123,650,'win'
124,150,'win'
125,250,'win'
126,150,'win'
127,0,'loss'
128,600,'win'
129,500,'win'
130,100,'win'
131,500,'win'
132,200,'win'
133,100,'win'
134,250,'win'
135,150,'win'
136,150,'win'
137,250,'win'
138,200,'win'
139,250,'win'
140,150,'win'
141,250,'win'
142,400,'win'
143,650,'win'
144,150,'win'
145,100,'win'
146,100,'win'
147,250,'win'
148,50,'win'
149,600,'win'
150,300,'win'
151,200,'win'
152,100,'win'
153,250,'win'
154,100,'win'
155,100,'win'
156,350,'win'
157,150,'win'
158,700,'win'
159,250,'win'
160,250,'win'
161,200,'win'
162,200,'win'
163,100,'win'
164,500,'win'
165,450,'win'
166,200,'win'
167,600,'win'
168,400,'win'
169,200,'win'
170,1200,'win'
171,250,'win'
172,500,'win'
173,150,'win'
174,350,'win'
175,400,'win'
176,200,'win'
177,50,'win'
178,200,'win'
179,500,'win'
180,750,'win'
181,900,'win'
182,250,'win'
183,200,'win'
184,150,'win'
185,500,'win'
186,250,'win'
187,400,'win'
188,200,'win'
189,150,'win'
190,100,'win'
191,100,'win'
192,1100,'win'
193,750,'win'
194,500,'win'
195,100,'win'
196,500,'win'
197,50,'win'
198,50,'win'
199,850,'win'
200,100,'win'
201,1200,'win'
202,500,'win'
203,100,'win'
204,150,'win'
205,300,'win'
206,200,'win'
207,100,'win'
208,250,'win'
209,150,'win'
210,50,'win'
211,50,'win'
212,150,'win'
213,150,'win'
214,1300,'win'
215,550,'win'
216,200,'win'
217,150,'win'
218,600,'win'
219,150,'win'
220,1000,'win'
221,150,'win'
222,250,'win'
223,250,'win'
224,50,'win'
225,350,'win'
226,100,'win'
227,150,'win'
228,200,'win'
229,200,'win'
230,1400,'win'
231,150,'win'
232,600,'win'
233,350,'win'
234,500,'win'
235,600,'win'
236,150,'win'
237,150,'win'
238,250,'win'
239,200,'win'
240,50,'win'
241,150,'win'
242,200,'win'
243,600,'win'
244,500,'win'
245,50,'win'
246,150,'win'
247,450,'win'
248,500,'win'
249,250,'win'
250,50,'win'
251,300,'win'
252,200,'win'
253,1000,'win'
254,200,'win'
255,600,'win'
256,150,'win'
257,600,'win'
258,400,'win'
259,2050,'win'
260,250,'win'
261,200,'win'
262,200,'win'
263,100,'win'
264,300,'win'
265,1100,'win'
266,150,'win'
267,100,'win'
268,100,'win'
269,250,'win'
270,200,'win'
271,1000,'win'
272,800,'win'
273,900,'win'
274,0,'loss'
275,100,'win'
276,50,'win'
277,200,'win'
278,1200,'win'
279,100,'win'
280,250,'win'
281,600,'win'
282,500,'win'
283,450,'win'
284,100,'win'
285,700,'win'
286,250,'win'
287,250,'win'
288,50,'win'
289,1200,'win'
290,50,'win'
291,550,'win'
292,350,'win'
293,100,'win'
294,1000,'win'
295,150,'win'
296,150,'win'
297,1800,'win'
298,250,'win'
299,250,'win'
300,50,'win'
301,50,'win'
302,500,'win'
303,250,'win'
304,400,'win'
305,900,'win'
306,500,'win'
307,150,'win'
308,200,'win'
309,200,'win'
310,200,'win'
311,200,'win'
312,450,'win'
313,500,'win'
314,650,'win'
315,100,'win'
316,500,'win'
317,150,'win'
318,100,'win'
319,600,'win'
320,400,'win'
321,200,'win'
322,200,'win'
323,100,'win'
324,700,'win'
325,200,'win'
326,50,'win'
327,200,'win'
328,50,'win'
329,100,'win'
330,250,'win'
331,150,'win'
332,0,'loss'
333,150,'win'
334,100,'win'
335,1000,'win'
336,150,'win'
337,300,'win'
338,150,'win'
