size,mean,std
500,653.5,567.0650315440021
500,663.1,597.3553297661284
500,693.0,563.5255096266717
500,670.0,624.94799783662
500,683.3,592.8289044910007
500,620.1,539.5006858197679
500,658.9,596.8130276728215
500,645.1,592.9426532136139
500,637.1,551.9950996159296
500,651.6,548.0487569550723
500,627.7,510.14479317150733
500,685.9,575.2183846157909
500,647.7,585.5166180391467
500,692.3,604.5127872923781
500,651.2,554.0384102208078
500,618.0,526.7409230352242
500,660.0,565.7561312084916
500,665.4,597.0367157889036
500,671.1,560.1069451453
500,687.3,612.2203116525945
500,684.5,580.7019459240687
500,646.6,558.0756579532922
500,646.7,526.9099638458168
500,676.6,618.1200854203008
500,710.6,628.9734811579897
500,662.8,564.124241634766
500,666.2,569.6907582188779
500,673.7,577.2723014314821
500,641.6,570.9023033759804
500,677.2,573.2801758302828
500,678.3,628.6287537171681
500,638.0,554.1534083627024
500,617.2,515.746216660869
500,704.1,612.6566656782574
500,709.1,635.7453814224685
500,677.2,584.7051906730434
500,703.7,598.8249410303483
500,662.2,562.779850385566
500,665.3,591.7101570870657
500,703.1,574.6698095428366
500,659.2,596.4690771532083
500,607.5,493.0910159392483
500,690.5,628.8439790599891
500,672.8,570.7365066298107
500,634.5,536.325227823566
500,634.5,602.1999252739907
500,607.1,490.463647990348
500,613.6,528.1051410467427
500,667.4,549.9702173754501
500,703.7,636.24783693149
500,657.7,562.1082724884949
500,643.5,573.9623245475264
500,648.7,546.6473360403396
500,650.9,570.7137548719147
500,640.4,555.3537971419661
500,650.9,573.2226356312179
500,651.5,564.7501660026317
500,718.5,641.3133009691909
500,640.7,568.1711977916516
500,690.5,584.5722795343618
500,677.4,607.4036878386564
500,701.1,635.4398397960267
500,692.2,584.8325914310864
500,634.9,525.2970492968716
500,643.4,565.4258925800975
500,668.8,572.063423057269
500,670.0,570.1754116059373
500,650.8,565.021557110877
500,597.1,477.82485284882375
500,665.9,579.6914610376799
500,669.8,576.0711414400134
500,704.9,617.6981382520105
500,675.7,596.661134983669
500,742.1,695.0414304197989
500,635.4,558.0383857764625
500,669.7,534.4781660648075
500,671.4,576.3003036612074
500,687.6,601.8606483231812
500,615.9,503.9565358242712
500,694.6,603.8549825910192
500,675.9,601.568109194628
500,611.7,519.334295035481
500,638.5,579.0101467159276
500,642.9,590.173355887912
500,621.4,515.3950329601557
500,662.4,578.4256564157575
500,649.6,546.0309881316261
500,677.4,545.1781727105367
500,670.5,601.7846375573241
500,610.3,547.3745609726487
