score,outcome
50,False
300,True
350,True
300,True
500,False
800,True
250,False
400,True
300,True
450,True
400,True
300,True
350,True
300,True
0,False
500,True
1000,True
2050,True
150,False
900,True
100,False
300,False
650,True
300,True
1100,True
400,True
250,True
1400,True
850,True
1000,True
300,True
250,False
600,True
550,True
800,False
550,True
550,True
350,True
1100,True
2000,True
350,True
400,True
850,True
900,True
1100,True
300,True
350,True
450,True
900,True
750,False
1100,True
350,True
150,False
800,True
350,False
350,True
400,True
450,True
300,True
450,True
700,True
150,False
1050,True
300,True
1100,True
250,True
350,True
600,True
200,False
550,True
550,True
300,True
350,True
200,False
200,False
300,True
500,False
350,True
800,True
250,True
300,False
150,False
700,True
250,True
800,True
1100,True
700,True
500,True
300,True
150,False
350,True
600,True
350,True
650,True
650,False
300,True
250,True
750,True
600,True
500,True
600,False
500,False
300,True
350,False
250,False
1000,False
150,False
300,False
700,True
1800,True
350,True
400,True
150,False
400,True
250,True
400,True
3350,True
250,False
600,False
350,False
550,True
1000,False
300,True
3000,True
450,True
0,False
150,False
350,True
900,True
250,False
350,True
300,True
250,False
650,True
750,True
250,False
1650,True
700,True
600,True
400,True
3100,True
250,False
200,False
200,False
250,False
300,True
250,True
1900,True
350,True
0,False
300,True
300,False
150,False
400,True
850,True
400,True
400,True
300,False
700,True
450,True
400,True
250,False
900,True
400,True
1000,True
400,True
350,True
300,True
250,False
200,False
500,True
350,True
2050,True
350,True
0,False
300,True
250,False
0,False
300,False
700,True
350,True
650,True
450,True
250,False
350,True
200,True
450,True
300,True
400,True
500,False
100,False
0,False
200,False
200,False
250,False
250,True
500,True
450,True
200,False
300,False
1000,False
200,True
150,False
350,True
600,True
0,False
350,True
100,False
750,True
200,False
200,False
150,False
150,False
450,True
500,False
250,True
250,False
200,False
0,False
600,True
350,True
250,False
450,True
450,False
250,False
350,True
750,False
250,True
300,True
500,True
1050,True
550,True
0,False
750,True
50,False
300,False
300,False
600,False
400,True
150,False
250,False
500,True
450,True
850,True
1400,True
1100,True
400,False
1100,False
300,True
150,False
400,True
350,False
250,True
750,True
400,True
2000,True
350,True
250,True
400,True
200,False
600,True
0,False
350,True
600,True
400,True
750,True
400,True
200,False
400,True
450,True
0,False
350,False
450,True
250,True
200,False
250,True
450,True
700,True
300,True
700,True
450,True
400,True
350,True
100,False
400,True
650,True
700,True
350,True
150,False
400,True
200,True
1700,True
500,True
650,True
400,True
250,False
300,True
1000,True
350,True
200,True
400,True
550,True
800,False
450,True
350,True
300,True
250,False
250,True
500,True
250,False
200,True
0,False
300,True
500,True
800,True
250,True
1050,True
2000,True
1000,False
1000,True
700,True
300,False
350,True
200,False
200,False
1950,True
300,True
700,True
300,False
550,True
200,False
500,True
400,True
350,True
700,False
300,True
300,False
1350,True
350,False
100,False
200,False
350,True
300,True
1050,True
400,True
200,False
250,True
350,True
1050,True
700,True
800,True
250,True
2000,True
650,True
1000,True
750,True
300,True
350,True
300,False
1050,True
150,False
300,False
350,True
1150,True
250,False
100,False
1050,True
600,True
300,True
2050,True
0,False
1050,True
700,True
350,True
350,False
450,True
500,True
750,True
150,False
350,True
300,True
0,False
650,True
350,True
750,True
1650,True
200,False
250,True
1050,False
1050,True
800,True
150,False
650,True
400,True
500,True
550,True
600,True
400,True
700,True
250,True
750,True
100,False
800,True
350,False
1150,True
250,True
800,True
300,True
250,True
400,True
1700,True
350,True
700,True
350,True
1100,True
250,False
650,True
450,True
350,True
2000,True
250,True
750,True
300,True
250,False
350,True
200,False
200,False
1100,True
850,True
300,True
350,True
200,False
100,False
350,True
1150,True
400,True
450,True
1000,False
1200,False
550,True
400,True
600,True
1650,True
600,True
500,True
600,True
500,True
400,True
250,True
950,True
350,True
350,True
250,False
350,True
650,True
750,True
1050,True
900,True
550,True
250,True
250,True
300,True
400,True
1050,True
400,True
1100,True
300,True
1200,True
1050,True
250,False
150,False
300,False
0,False
100,False
350,True
800,False
350,True
100,True
1200,True
400,True
500,True
1000,True
400,False
650,True
400,False
600,True
400,True
1000,True
350,False
350,True
200,False
250,True
900,False
600,True
200,False
450,True
300,False
850,True
600,True
750,True
