score,outcome
550,True
300,True
750,True
1250,True
1000,True
1100,True
250,True
950,True
400,True
350,True
2450,True
350,True
700,True
700,True
850,True
1100,True
250,True
300,True
200,False
250,False
350,True
800,True
450,True
200,False
350,True
350,True
700,True
250,True
250,True
250,False
150,False
900,True
300,True
0,False
300,False
300,True
600,True
200,False
300,True
750,True
200,True
1050,True
400,True
700,True
450,True
450,True
300,True
350,True
250,False
350,True
250,True
300,True
300,True
300,True
250,True
500,True
250,False
300,True
500,True
350,True
350,True
500,True
900,True
400,True
800,True
600,True
250,True
600,True
600,True
450,True
1000,True
400,True
350,True
450,True
300,True
950,True
300,True
700,True
1000,True
750,True
350,True
100,False
1250,True
250,True
350,True
600,True
700,True
1150,True
300,True
600,True
2300,True
500,True
550,True
0,False
200,True
300,False
200,False
500,True
400,True
700,True
250,False
0,False
200,True
100,False
600,True
200,False
0,False
1050,True
1100,True
300,True
400,True
300,False
750,True
300,True
1500,True
300,True
450,True
500,True
600,True
250,False
1050,True
850,True
250,False
250,True
1300,False
250,True
500,True
1050,False
300,True
250,True
400,True
150,False
300,False
250,True
1250,True
200,False
300,True
250,True
350,True
300,True
300,True
0,False
250,True
350,True
800,True
350,True
300,True
250,True
150,False
500,False
400,True
250,False
500,True
400,True
200,False
1600,True
1150,True
350,True
500,True
600,True
250,True
250,False
300,True
800,True
1000,True
400,True
100,False
300,True
200,True
300,True
200,True
0,False
250,True
350,True
250,True
500,True
800,True
300,True
500,True
600,True
3000,True
300,True
200,False
250,False
1100,True
500,True
300,True
500,True
2500,True
350,True
200,True
350,True
250,True
300,False
1000,True
550,True
300,False
350,True
750,True
1250,True
1400,True
1050,True
150,False
500,True
200,False
200,True
200,True
400,True
250,False
300,False
400,True
200,False
750,True
350,True
400,True
1000,True
750,True
350,True
350,True
250,True
1000,False
1100,True
250,True
1450,True
0,False
650,True
350,True
400,True
350,False
300,True
0,False
350,True
350,True
400,True
1500,True
700,True
350,True
900,True
250,False
350,True
350,True
700,True
200,True
450,True
0,False
200,False
700,True
1000,True
800,True
800,True
250,True
300,True
850,True
400,True
200,False
1100,True
1000,True
300,True
850,True
300,True
650,True
600,True
350,True
250,True
200,False
700,True
450,True
250,False
1000,True
1500,True
400,True
450,True
700,True
350,True
900,True
450,True
900,True
1550,True
150,False
550,True
500,True
400,True
200,True
250,False
500,True
300,True
500,False
350,True
150,False
200,True
1750,True
2650,True
250,True
500,True
150,False
300,True
1200,True
200,False
300,True
1000,True
450,True
1050,True
400,True
400,True
100,False
200,False
450,True
300,True
300,True
100,False
800,True
250,False
300,True
600,True
1000,True
1850,True
400,True
150,False
400,True
600,True
150,True
400,True
50,False
900,True
600,True
250,True
700,True
1000,True
1100,True
200,False
350,True
1400,True
200,True
1850,True
250,True
400,True
500,True
400,True
1550,True
250,True
1500,True
500,True
150,False
250,True
1000,True
1300,True
750,True
600,True
600,True
100,False
750,True
200,True
1800,True
250,True
400,True
600,True
1050,True
1050,True
1250,True
300,True
350,True
250,True
700,True
550,True
250,True
200,True
400,True
0,False
250,True
300,True
950,True
300,True
300,True
250,True
1100,True
350,True
250,False
350,True
300,True
750,True
550,True
1100,True
500,False
250,True
250,True
150,True
300,True
250,True
200,False
550,True
700,True
250,True
300,True
300,True
350,True
1500,True
150,False
350,True
600,True
250,True
100,False
400,True
250,False
350,True
1000,True
150,False
1150,True
150,False
350,True
300,False
500,True
450,True
600,True
350,True
1300,False
400,True
350,True
250,True
1200,True
150,False
150,True
350,True
300,True
1100,True
600,False
150,False
200,True
1050,True
700,True
250,True
500,True
500,True
300,False
600,False
750,True
200,True
400,True
500,True
400,True
650,True
300,True
400,True
1000,True
0,False
150,False
0,False
250,False
450,True
450,True
350,True
400,False
600,True
500,True
0,False
300,True
250,True
400,True
1100,True
300,True
700,True
150,False
550,True
250,True
300,True
550,True
300,True
400,True
900,True
1100,True
600,True
200,False
300,True
900,True
2000,True
1050,True
300,True
200,False
400,True
500,True
300,True
350,True
350,True
550,True
500,True
300,True
1000,True
600,True
500,True
300,True
1300,False
250,True
400,True
250,True
450,True
200,True
500,False
250,False
200,False
1250,True
600,True
