score,outcome
450,True
350,True
200,True
300,True
500,True
300,False
350,True
350,True
350,True
850,True
1200,True
500,False
450,True
500,True
400,True
400,True
450,True
1050,True
250,True
300,False
350,True
650,True
250,True
250,False
100,False
1050,True
250,False
350,False
350,True
500,True
2050,True
750,True
500,True
150,False
400,True
350,True
150,True
450,True
250,False
250,True
300,False
200,False
350,False
300,False
400,True
350,True
400,True
650,True
250,True
2050,True
550,True
250,False
350,False
2000,True
200,False
300,False
350,True
400,True
750,True
700,True
250,False
100,False
300,False
700,True
1100,True
300,False
100,False
1050,True
700,True
200,False
350,False
500,True
850,True
300,True
400,True
300,False
350,True
500,True
300,True
200,False
600,False
1150,True
200,False
450,True
450,True
200,False
400,True
300,False
500,True
350,True
350,True
500,True
650,True
750,True
700,False
500,False
1050,True
700,True
300,False
200,False
350,True
450,True
1100,True
300,True
700,True
400,False
250,False
650,True
1050,True
800,True
350,False
450,False
750,True
50,False
800,True
1050,True
650,True
550,True
300,False
750,True
600,True
500,True
1000,False
400,True
450,True
400,True
650,False
250,True
400,True
200,False
300,True
600,False
1000,False
400,True
400,True
800,True
500,True
300,False
0,False
400,True
350,True
250,False
550,True
300,False
500,True
600,True
550,True
450,True
400,False
1850,True
200,False
400,True
250,True
350,True
650,True
500,True
650,True
800,True
450,False
650,True
700,True
200,True
400,True
350,True
0,False
250,True
350,True
1200,True
150,False
350,False
300,True
1050,True
250,False
150,False
1200,True
650,True
1100,True
350,True
500,True
750,True
400,True
500,True
700,True
300,True
500,True
200,True
450,True
800,True
800,True
700,True
350,True
650,False
500,True
200,False
150,False
500,True
600,False
550,True
250,False
700,True
500,True
450,False
400,True
700,True
1100,True
250,True
250,False
600,False
500,False
300,False
350,True
600,False
1150,True
200,False
300,True
300,True
200,False
600,True
250,True
350,True
350,False
500,True
400,True
400,True
700,False
500,True
200,False
250,False
450,False
400,True
350,True
300,False
250,False
600,True
450,True
350,True
300,True
400,False
600,True
700,True
350,True
400,True
200,False
450,True
750,True
500,True
300,False
450,True
300,True
250,False
250,False
100,False
1050,True
400,False
300,False
300,True
700,True
350,True
500,True
500,True
400,False
250,True
900,True
300,True
500,True
300,False
450,True
1050,True
300,True
250,False
1050,True
300,False
750,True
350,True
250,True
450,True
550,True
400,True
250,False
350,True
550,True
1050,True
300,False
300,True
350,True
350,True
400,False
550,True
400,True
1400,True
500,True
300,True
250,False
400,True
200,False
500,False
350,True
250,False
1150,True
1100,True
750,True
350,True
500,True
350,False
500,True
500,True
450,True
500,False
700,True
750,True
300,True
1150,True
1250,True
350,True
400,True
250,False
450,True
500,True
250,False
300,False
1050,True
1050,True
450,True
500,True
1000,False
250,False
150,False
550,True
300,False
0,False
200,True
1200,True
400,True
450,True
300,False
800,True
350,True
0,False
400,True
300,True
500,True
300,True
650,True
400,True
300,False
200,False
700,True
450,True
800,True
350,True
200,False
1100,True
350,True
500,True
350,True
400,False
300,False
500,False
350,True
1100,True
500,True
700,True
450,True
500,True
550,True
300,False
250,False
300,False
100,False
500,True
150,False
400,True
250,True
450,True
200,False
450,True
250,False
450,True
300,False
350,True
350,True
450,False
600,True
650,True
150,False
500,True
400,False
250,False
750,True
500,True
250,True
350,True
250,True
500,True
1150,True
200,False
150,False
600,True
450,True
450,True
600,False
0,False
0,False
350,True
0,False
400,True
250,True
550,True
450,False
600,False
300,False
550,True
700,True
500,True
800,True
0,False
300,False
300,False
450,True
1250,True
500,True
700,True
200,True
400,True
1100,True
350,False
750,True
750,True
1250,True
600,True
700,True
350,True
200,True
350,True
350,True
500,False
500,True
300,False
500,True
200,False
500,True
300,True
400,True
550,True
0,False
550,True
300,True
350,True
750,True
550,True
350,True
300,False
700,True
300,False
250,False
300,False
700,False
350,False
150,False
1100,True
50,False
300,True
350,True
450,False
250,False
400,True
500,True
500,True
350,True
350,True
400,True
450,True
550,True
400,True
350,False
700,True
400,True
600,True
400,True
500,True
250,False
150,False
250,False
350,True
400,True
250,False
250,False
1200,True
0,False
400,True
450,False
450,True
350,True
500,True
550,True
700,True
750,True
1050,True
700,True
1000,True
700,True
300,False
700,False
350,True
150,True
2000,True
300,False
500,True
1050,True
400,True
300,True
450,True
500,True
650,True
350,True
700,True
300,False
550,True
400,True
500,True
400,True
450,True
1150,True
1050,True
500,True
400,True
300,True
450,True
700,True
700,True
300,False
350,True
1100,True
600,True
500,True
700,True
1000,False
200,False
600,True
800,False
150,False
600,True
550,True
200,True
250,True
200,False
550,True
350,True
450,False
0,False
250,False
700,True
400,True
700,True
650,True
450,True
1050,True
200,False
250,False
800,True
250,True
1350,True
0,False
100,False
250,True
550,True
350,True
400,True
300,False
100,False
450,True
400,True
1100,True
100,False
300,True
400,False
350,False
750,True
700,False
350,True
500,False
750,True
700,True
400,True
400,True
500,True
200,False
250,False
200,False
350,True
1050,True
250,False
700,True
250,False
1050,True
1200,True
350,True
750,True
650,True
200,False
500,True
300,True
250,True
300,False
450,True
800,True
500,True
450,True
600,False
1150,True
650,True
350,True
250,False
600,False
700,False
550,True
500,True
2000,True
350,True
500,True
750,True
700,True
400,True
550,True
350,False
300,True
550,True
400,True
650,True
450,True
200,False
500,True
500,True
350,False
