score,outcome
400,True
950,True
300,False
0,False
800,False
350,False
250,False
1100,False
400,False
150,False
1050,False
1450,False
2150,False
1250,False
1000,False
200,False
250,False
950,True
650,False
950,True
450,True
300,True
200,False
2650,False
750,False
1200,False
550,False
400,True
300,False
300,True
100,False
350,True
200,False
300,False
600,False
1750,False
200,False
400,True
300,False
350,False
1200,False
1200,False
300,True
250,True
1200,False
400,True
1100,False
1650,False
250,False
300,False
350,False
1450,False
400,False
250,False
250,False
800,False
350,True
1100,False
0,False
1250,False
250,False
1600,False
100,False
450,True
700,False
700,True
300,False
150,False
1600,False
0,False
250,False
250,False
1850,True
250,True
400,True
1050,False
200,False
700,False
300,True
450,False
1100,True
400,True
1550,True
950,False
2300,True
300,False
750,True
850,False
600,False
900,True
350,False
400,True
1350,False
1100,False
2700,False
550,False
1150,False
250,True
1150,True
1650,False
150,False
1050,False
1100,False
500,False
300,False
1150,False
600,False
600,False
750,False
300,False
200,False
1050,False
250,True
400,False
250,False
500,False
650,False
650,False
350,True
400,True
300,False
2700,False
900,False
950,True
1050,False
500,False
100,False
250,False
100,False
300,True
650,False
1550,False
1300,False
800,False
1850,True
1350,True
300,True
1050,False
1100,True
0,False
200,False
1100,False
350,False
350,False
350,False
850,False
350,False
100,False
400,True
300,False
700,False
1050,False
2900,False
1100,False
850,True
850,True
3000,False
600,False
0,False
300,True
1700,True
1000,False
350,False
900,False
450,True
250,False
350,False
400,False
450,False
600,False
1600,False
150,False
550,False
1150,False
600,False
200,False
1400,False
400,True
250,False
600,False
750,False
250,False
750,False
50,False
1300,False
350,False
500,False
500,False
650,False
600,False
1500,False
350,False
1750,True
1000,False
200,False
1400,False
750,True
900,True
750,False
300,False
500,False
450,False
2100,True
350,True
250,True
500,True
150,False
450,True
300,False
350,False
400,False
2450,True
350,True
700,False
1650,False
1000,False
100,False
400,True
700,False
550,False
1200,False
450,True
500,False
550,True
300,True
250,False
1450,True
800,True
300,True
600,False
350,True
400,True
150,False
1050,False
1050,False
350,False
0,False
50,False
600,False
250,True
300,False
1150,False
250,True
200,True
700,False
400,False
400,False
300,True
700,False
500,False
650,True
250,False
400,True
400,False
850,False
800,False
950,False
300,True
1650,False
1250,False
200,False
450,False
0,False
0,False
250,False
250,False
200,False
100,False
700,True
350,False
100,False
900,False
1500,False
1000,False
550,False
400,True
350,True
700,False
1500,False
300,False
550,False
1100,False
700,False
750,False
700,False
550,False
300,False
150,False
750,False
400,True
300,False
0,False
0,False
800,False
0,False
300,True
700,False
500,False
0,False
750,True
850,False
0,False
2800,False
350,True
1050,False
1050,False
300,False
850,False
250,True
350,False
650,True
950,False
300,True
100,False
1450,False
250,True
700,False
700,False
500,False
1000,False
600,False
250,False
1050,False
400,False
300,False
400,True
350,False
2400,False
350,True
2000,False
1300,False
650,False
350,False
400,False
350,False
1250,False
200,False
0,False
500,False
300,False
400,False
900,True
1000,False
1050,False
1600,False
300,False
350,False
350,True
350,True
0,False
800,False
1050,False
850,False
350,True
1000,False
700,False
400,False
300,True
650,False
1700,False
750,False
250,False
200,True
0,False
300,False
1100,False
0,False
400,False
1200,True
700,True
1000,False
900,True
800,True
350,True
250,False
300,True
0,False
500,False
350,True
400,False
200,False
550,False
350,False
700,False
250,False
1350,False
550,False
600,True
950,False
1900,False
400,True
100,False
1500,True
250,False
1000,False
350,False
350,True
250,False
350,False
1050,False
150,False
250,False
750,False
200,False
300,True
150,False
650,False
1150,False
400,True
300,False
550,True
1300,False
400,True
700,False
1400,False
400,True
250,False
700,False
200,False
250,False
300,False
900,False
300,True
600,False
700,False
1150,True
550,False
300,True
1050,False
650,False
350,True
650,True
350,False
1000,False
350,True
200,True
200,False
550,False
850,False
400,False
200,True
2350,False
900,False
400,False
350,True
350,False
250,True
400,False
3000,False
1050,False
1850,False
350,False
600,False
200,False
250,True
450,False
150,False
0,False
700,True
700,False
1400,False
350,True
300,True
1150,False
650,False
500,False
400,True
100,False
0,False
1550,False
400,True
1200,False
700,False
300,True
350,True
1100,False
850,False
1150,False
1000,False
800,False
750,False
150,False
1750,True
1250,False
150,False
950,True
2450,False
150,False
300,False
250,True
900,True
1500,False
2100,True
650,False
500,False
350,False
200,False
950,False
600,False
1500,False
950,False
1150,True
300,True
100,False
300,False
400,True
2400,True
1400,True
450,True
1300,False
400,False
1550,True
250,True
600,False
150,False
1500,False
1150,False
550,False
300,False
250,False
400,False
1500,False
950,False
400,False
1150,False
350,True
300,True
1000,False
1600,False
250,True
1650,False
0,False
300,False
250,False
450,False
0,False
850,True
700,False
950,True
250,False
2000,False
300,True
2100,False
2200,False
400,False
450,False
600,False
400,True
450,False
200,False
1500,False
0,False
500,False
1050,True
250,False
600,False
1150,False
650,False
450,False
350,True
300,False
2450,False
850,False
200,False
350,False
50,False
100,False
1050,False
350,False
750,False
400,True
900,False
200,False
250,False
500,False
300,True
450,True
1050,False
700,False
250,False
1650,True
250,False
450,False
200,False
600,False
750,False
400,False
1450,False
650,False
1450,False
550,False
1050,True
250,False
200,True
300,False
300,False
1100,False
400,False
1050,False
800,False
650,False
700,True
300,False
400,False
2000,False
250,False
1200,False
1600,False
900,False
300,False
600,False
750,False
3250,False
100,False
350,True
450,True
300,True
800,True
700,False
1050,False
300,False
1250,False
450,False
250,False
750,False
250,False
250,True
950,True
250,False
250,True
400,True
150,False
950,False
150,False
350,True
300,True
350,True
1200,False
450,False
700,True
400,False
1050,False
250,True
0,False
2150,True
350,True
400,False
400,True
400,False
100,False
400,True
150,False
0,False
1900,False
1100,False
1300,False
350,False
1550,False
1800,False
1550,False
300,False
450,False
1300,False
50,False
200,True
350,False
200,False
1000,True
300,True
0,False
400,False
450,False
1000,False
400,True
350,False
1350,False
250,False
650,False
600,False
300,False
750,False
500,False
300,False
450,False
350,True
2050,False
400,True
300,True
2500,False
1200,False
600,False
1400,True
850,False
350,False
0,False
1150,True
300,True
150,False
950,True
250,False
700,False
500,False
200,False
150,False
300,False
600,False
750,False
100,False
0,False
200,False
300,True
300,True
1300,False
