batch_size,mean
101, 476
101, 499
101, 521
101, 526
101, 560
101, 512
101, 477
101, 579
101, 416
101, 460
101, 560
101, 511
101, 512
101, 478
101, 537
101, 518
101, 552
101, 565
101, 526
101, 462
101, 519
101, 507
101, 450
101, 528
101, 543
201, 505
201, 501
201, 537
201, 517
201, 449
201, 462
201, 519
201, 502
201, 509
201, 472
201, 515
201, 478
201, 528
201, 504
201, 555
201, 523
201, 506
201, 525
201, 489
201, 498
201, 486
201, 525
201, 513
201, 540
201, 493
301, 466
301, 536
301, 515
301, 539
301, 519
301, 489
301, 524
301, 507
301, 512
301, 555
301, 497
301, 551
301, 528
301, 529
301, 509
301, 522
301, 482
301, 472
301, 493
301, 510
301, 517
301, 531
301, 525
301, 517
301, 502
401, 518
401, 520
401, 509
401, 524
401, 489
401, 497
401, 511
401, 530
401, 492
401, 532
401, 510
401, 521
401, 520
401, 513
401, 537
401, 524
401, 513
401, 525
401, 520
401, 507
401, 507
401, 519
401, 495
401, 519
401, 500
501, 490
501, 500
501, 489
501, 521
501, 553
501, 491
501, 487
501, 519
501, 491
501, 510
501, 522
501, 504
501, 503
501, 513
501, 527
501, 486
501, 472
501, 486
501, 497
501, 507
501, 506
501, 506
501, 507
501, 497
501, 546
601, 509
601, 508
601, 474
601, 481
601, 495
601, 498
601, 504
601, 474
601, 488
601, 497
601, 504
601, 473
601, 526
601, 495
601, 523
601, 523
601, 492
601, 527
601, 512
601, 518
601, 502
601, 486
601, 493
601, 509
601, 491
701, 516
701, 496
701, 498
701, 485
701, 529
701, 528
701, 528
701, 514
701, 517
701, 504
701, 513
701, 488
701, 506
701, 512
701, 493
701, 527
701, 496
701, 516
701, 490
701, 496
701, 498
701, 498
701, 495
701, 500
701, 524
801, 527
801, 504
801, 529
801, 510
801, 502
801, 507
801, 523
801, 514
801, 511
801, 525
801, 486
801, 529
801, 541
801, 526
801, 508
801, 485
801, 512
801, 505
801, 508
801, 507
801, 520
801, 529
801, 520
801, 538
801, 500
901, 493
901, 490
901, 518
901, 511
901, 514
901, 514
901, 467
901, 508
901, 515
901, 507
901, 521
901, 522
901, 512
901, 500
901, 496
901, 532
901, 505
901, 505
901, 511
901, 525
901, 499
901, 517
901, 502
901, 488
901, 498
1001, 516
1001, 507
1001, 492
1001, 509
1001, 529
1001, 491
1001, 514
1001, 494
1001, 509
1001, 500
1001, 511
1001, 500
1001, 509
1001, 505
1001, 501
1001, 507
1001, 510
1001, 513
1001, 505
1001, 525
1001, 517
1001, 481
1001, 514
1001, 512
1001, 517
1101, 508
1101, 509
1101, 508
1101, 500
1101, 504
1101, 498
1101, 506
1101, 498
1101, 514
1101, 498
1101, 492
1101, 499
1101, 525
1101, 518
1101, 505
1101, 511
1101, 512
1101, 508
1101, 506
1101, 521
1101, 501
1101, 510
1101, 502
1101, 519
1101, 503
1201, 486
1201, 508
1201, 500
1201, 517
1201, 509
1201, 503
1201, 503
1201, 497
1201, 478
1201, 508
1201, 505
1201, 521
1201, 504
1201, 500
1201, 529
1201, 503
1201, 506
1201, 500
1201, 496
1201, 494
1201, 508
1201, 499
1201, 502
1201, 489
1201, 505
1301, 508
1301, 484
1301, 513
1301, 517
1301, 495
1301, 518
1301, 510
1301, 514
1301, 520
1301, 508
1301, 513
1301, 495
1301, 514
1301, 523
1301, 493
1301, 499
1301, 508
1301, 516
1301, 525
1301, 509
1301, 501
1301, 498
1301, 507
1301, 494
1301, 478
1401, 506
1401, 486
1401, 503
1401, 510
1401, 499
1401, 523
1401, 510
1401, 503
1401, 498
1401, 495
1401, 505
1401, 499
1401, 541
1401, 491
1401, 532
1401, 510
1401, 512
1401, 505
1401, 496
1401, 475
1401, 500
1401, 500
1401, 509
1401, 511
1401, 525
1501, 502
1501, 503
1501, 504
1501, 496
1501, 495
1501, 507
1501, 512
1501, 515
1501, 519
1501, 491
1501, 527
1501, 518
1501, 511
1501, 514
1501, 507
1501, 506
1501, 511
1501, 507
1501, 519
1501, 509
1501, 499
1501, 512
1501, 506
1501, 509
1501, 499
1601, 507
1601, 509
1601, 502
1601, 510
1601, 517
1601, 516
1601, 497
1601, 502
1601, 496
1601, 512
1601, 503
1601, 499
1601, 511
1601, 505
1601, 497
1601, 508
1601, 496
1601, 495
1601, 505
1601, 504
1601, 495
1601, 501
1601, 499
1601, 500
1601, 507
1701, 493
1701, 507
1701, 522
1701, 502
1701, 498
1701, 517
1701, 517
1701, 532
1701, 517
1701, 502
1701, 511
1701, 500
1701, 495
1701, 515
1701, 499
1701, 519
1701, 507
1701, 501
1701, 505
1701, 506
1701, 519
1701, 514
1701, 498
1701, 519
1701, 516
1801, 508
1801, 498
1801, 523
1801, 506
1801, 521
1801, 517
1801, 504
1801, 500
1801, 508
1801, 513
1801, 504
1801, 499
1801, 517
1801, 495
1801, 514
1801, 500
1801, 496
1801, 488
1801, 504
1801, 514
1801, 519
1801, 519
1801, 509
1801, 515
1801, 507
1901, 511
1901, 511
1901, 514
1901, 499
1901, 515
1901, 484
1901, 513
1901, 491
1901, 506
1901, 518
1901, 506
1901, 498
1901, 512
1901, 520
1901, 505
1901, 509
1901, 509
1901, 514
1901, 497
1901, 493
1901, 499
1901, 502
1901, 516
1901, 513
1901, 507
2001, 514
2001, 498
2001, 516
2001, 503
2001, 510
2001, 505
2001, 498
2001, 506
2001, 503
2001, 503
2001, 496
2001, 500
2001, 501
2001, 520
2001, 514
2001, 513
2001, 501
2001, 510
2001, 528
2001, 499
2001, 491
2001, 509
2001, 514
2001, 512
2001, 512
2101, 503
2101, 517
2101, 500
2101, 519
2101, 510
2101, 516
2101, 504
2101, 515
2101, 495
2101, 525
2101, 503
2101, 514
2101, 490
2101, 506
2101, 494
2101, 508
2101, 513
2101, 486
2101, 496
2101, 502
2101, 520
2101, 490
2101, 513
2101, 512
2101, 507
2201, 499
2201, 516
2201, 505
2201, 511
2201, 493
2201, 504
2201, 511
2201, 511
2201, 506
2201, 499
2201, 512
2201, 499
2201, 491
2201, 507
2201, 512
2201, 505
2201, 508
2201, 512
2201, 491
2201, 496
2201, 512
2201, 512
2201, 495
2201, 517
2201, 496
2301, 508
2301, 511
2301, 503
2301, 513
2301, 495
2301, 501
2301, 502
2301, 501
2301, 514
2301, 514
2301, 497
2301, 506
2301, 504
2301, 501
2301, 526
2301, 508
2301, 518
2301, 502
2301, 518
2301, 509
2301, 505
2301, 524
2301, 503
2301, 493
2301, 509
2401, 518
2401, 504
2401, 521
2401, 511
2401, 507
2401, 495
2401, 498
2401, 520
2401, 505
2401, 512
2401, 504
2401, 509
2401, 506
2401, 511
2401, 505
2401, 513
2401, 515
2401, 510
2401, 500
2401, 512
2401, 503
2401, 520
2401, 506
2401, 516
2401, 499
2501, 509
2501, 514
2501, 496
2501, 507
2501, 509
2501, 503
2501, 514
2501, 515
2501, 509
2501, 504
2501, 513
2501, 502
2501, 520
2501, 521
2501, 501
2501, 497
2501, 510
2501, 498
2501, 511
2501, 500
2501, 506
2501, 510
2501, 496
2501, 512
2501, 490
2601, 506
2601, 502
2601, 496
2601, 506
2601, 505
2601, 499
2601, 492
2601, 501
2601, 516
2601, 496
2601, 499
2601, 508
2601, 502
2601, 507
2601, 509
